ID,Sex,Bachelor,Age,Graduated,Career,Work Experience,Family Expenses,Family  Size,Variable,Segmentation,Description
1462221764,Female,No,28,No,Doctor,1,Low,2,Dog_4,Akshat,The specimen is responsible and hardworking.
1462224527,Male,No,28,No,Scientist,0,Low,4,Dog_3,Darsh,The specimen is responsible and hardworking.
1462223321,Male,Yes,72,Yes,Lawyer,1,Low,1,Dog_6,Darsh,The specimen is reliable and experienced.
1462219158,Female,Yes,46,Yes,Fashion Designer,1,Average,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462224719,Female,No,38,No,Fashion Designer,13,Low,2,Dog_4,Darsh,The specimen is reliable and experienced.
1462222221,Female,Yes,37,Yes,Fashion Designer,3,Average,3,Dog_3,Bhavesh,The specimen is reliable and experienced.
1462218484,Female,Yes,67,Yes,Scientist,1,Low,1,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462226219,Female,Yes,43,Yes,Fashion Designer,1,Low,2,Dog_5,Chaitanya,The specimen is reliable and experienced.
1462224535,Male,Yes,53,Yes,Fashion Designer,1,Average,3,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462224927,Female,No,49,Yes,Fashion Designer,4,Low,1,Dog_6,Akshat,The specimen is reliable and experienced.
1462225763,Male,No,20,No,Doctor,1,Low,4,Dog_6,Darsh,The specimen is responsible and hardworking.
1462219757,Female,Yes,49,No,Scientist,6,Low,2,Dog_6,Akshat,The specimen is reliable and experienced.
1462225702,Male,Yes,45,No,HR,0,Average,3,Dog_4,Bhavesh,The specimen is reliable and experienced.
1462222706,Female,Yes,76,Yes,Lawyer,0,High,2,Dog_6,Akshat,The specimen is reliable and experienced.
1462221995,Female,Yes,55,Yes,Singer,1,Average,5,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462220021,Female,Yes,57,No,Scientist,8,Low,1,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462222126,Female,No,26,No,Scientist,,Low,4,Dog_4,Akshat,The specimen is responsible and hardworking.
1462223395,Male,Yes,67,Yes,HR,1,Low,,Dog_7,Bhavesh,The specimen is reliable and experienced.
1462221013,Female,Yes,88,Yes,Lawyer,1,High,2,Dog_6,Akshat,The specimen is reliable and experienced.
1462225355,Female,Yes,37,Yes,Fashion Designer,0,Low,1,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462224511,Male,No,25,Yes,Scientist,7,Low,1,Dog_6,Akshat,The specimen is responsible and hardworking.
1462222810,Male,Yes,71,Yes,HR,0,High,3,Dog_6,Akshat,The specimen is reliable and experienced.
1462224786,Female,,40,Yes,Housewife,4,Low,1,Dog_3,Akshat,The specimen is reliable and experienced.
1462226164,Male,Yes,87,Yes,HR,1,High,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462225947,Male,Yes,62,No,Singer,8,Low,2,Dog_3,Bhavesh,The specimen is reliable and experienced.
1462225185,Female,No,28,Yes,Doctor,,Low,3,Dog_2,Darsh,The specimen is responsible and hardworking.
1462220855,Male,Yes,37,,Singer,1,Low,2,Dog_6,Akshat,The specimen is reliable and experienced.
1462223776,Male,Yes,40,Yes,HR,0,High,4,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462226447,Male,,53,Yes,HR,6,High,3,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462224388,Female,Yes,48,Yes,Housewife,1,Low,2,Dog_3,Bhavesh,The specimen is reliable and experienced.
1462224207,Female,No,43,Yes,Scientist,0,Low,4,Dog_6,Darsh,The specimen is reliable and experienced.
1462221171,Male,Yes,48,Yes,HR,0,Average,4,Dog_4,Akshat,The specimen is reliable and experienced.
1462220737,Female,No,21,No,Doctor,8,Low,4,Dog_6,Darsh,The specimen is responsible and hardworking.
1462225289,Female,Yes,49,Yes,Fashion Designer,3,High,5,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462220200,Male,No,42,No,Singer,,Low,3,Dog_3,Darsh,The specimen is reliable and experienced.
1462223587,Male,Yes,52,No,Singer,0,Average,4,Dog_5,Bhavesh,The specimen is reliable and experienced.
1462221663,Male,No,26,Yes,Fashion Designer,1,Low,2,Dog_6,Akshat,The specimen is responsible and hardworking.
1462225685,Female,No,42,Yes,Housewife,10,Low,1,Dog_6,Akshat,The specimen is reliable and experienced.
1462219638,Female,No,60,Yes,Scientist,1,Low,1,Dog_6,Akshat,The specimen is reliable and experienced.
1462219171,Male,No,23,No,Doctor,4,Low,5,Dog_6,Darsh,The specimen is responsible and hardworking.
1462222445,Female,Yes,38,No,Scientist,1,Average,3,Dog_4,Akshat,The specimen is reliable and experienced.
1462221073,Male,No,18,No,Doctor,1,Low,4,Dog_6,Darsh,The specimen is rather joyful than responsible.
1462226001,Female,Yes,38,No,Scientist,9,Average,4,Dog_4,Akshat,The specimen is reliable and experienced.
1462225806,Male,,32,Yes,Doctor,8,High,5,Dog_7,Darsh,The specimen is reliable and experienced.
1462220353,Male,No,27,No,Singer,1,Low,3,Dog_4,Bhavesh,The specimen is responsible and hardworking.
1462221649,Female,No,39,Yes,Housewife,10,Low,1,Dog_2,Darsh,The specimen is reliable and experienced.
1462221300,Male,No,33,No,Content Creation,1,Low,6,Dog_4,Darsh,The specimen is reliable and experienced.
1462223300,Female,No,66,Yes,Fashion Designer,0,Low,1,Dog_6,Darsh,The specimen is reliable and experienced.
1462226052,Male,Yes,41,No,HR,1,High,4,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462223535,Male,Yes,46,Yes,Scientist,0,Low,3,Dog_3,Darsh,The specimen is reliable and experienced.
1462220273,Female,No,41,Yes,Fashion Designer,8,Low,3,Dog_6,Akshat,The specimen is reliable and experienced.
1462223277,Female,Yes,37,Yes,Singer,5,Average,2,Dog_3,Bhavesh,The specimen is reliable and experienced.
1462223023,Female,Yes,42,Yes,Scientist,8,Low,2,Dog_3,Darsh,The specimen is reliable and experienced.
1462223935,Male,Yes,38,No,Fashion Designer,8,Low,1,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462223223,Male,Yes,49,No,HR,3,High,5,Dog_7,Bhavesh,The specimen is reliable and experienced.
1462226295,,Yes,69,Yes,Fashion Designer,0,Low,1,Dog_6,Darsh,The specimen is reliable and experienced.
1462223078,Male,No,31,Yes,Scientist,3,Low,4,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462225064,Female,Yes,58,Yes,Scientist,1,Low,1,Dog_3,Akshat,The specimen is reliable and experienced.
1462225698,Female,No,43,Yes,Fashion Designer,1,Low,1,Dog_6,Akshat,The specimen is reliable and experienced.
1462220234,Female,Yes,52,Yes,Fashion Designer,9,Low,4,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462224234,Male,No,22,No,Content Creation,1,Low,3,Dog_6,Akshat,The specimen is responsible and hardworking.
1462222418,Female,No,46,No,Housewife,9,Low,1,Dog_6,Darsh,The specimen is reliable and experienced.
1462218902,Female,No,23,No,Doctor,1,Low,3,Dog_4,Darsh,The specimen is responsible and hardworking.
1462226515,Male,No,38,Yes,Doctor,6,Low,2,Dog_3,Darsh,The specimen is reliable and experienced.
1462220825,Male,,39,Yes,Doctor,11,Average,2,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462224360,Male,Yes,59,No,Scientist,1,Average,3,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462222576,Male,Yes,76,Yes,Lawyer,0,Low,2,Dog_4,Bhavesh,The specimen is reliable and experienced.
1462222123,Female,No,26,Yes,Scientist,0,Low,3,Dog_6,Chaitanya,The specimen is responsible and hardworking.
1462219614,Female,Yes,41,Yes,Fashion Designer,1,High,4,Dog_2,Chaitanya,The specimen is reliable and experienced.
1462218997,Male,No,61,Yes,Fashion Designer,0,Low,1,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462222902,Male,Yes,57,Yes,Fashion Designer,1,Average,5,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462219887,Male,No,28,No,Scientist,0,Low,3,Dog_3,Bhavesh,The specimen is responsible and hardworking.
1462220050,Male,No,32,Yes,Scientist,,Low,3,Dog_6,Darsh,The specimen is reliable and experienced.
1462220682,Male,Yes,32,No,Doctor,1,High,4,Dog_4,Darsh,The specimen is reliable and experienced.
1462225618,Male,Yes,72,No,HR,0,High,2,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462220887,Female,,40,No,Scientist,1,Low,4,Dog_3,Akshat,The specimen is reliable and experienced.
1462222959,Male,Yes,37,Yes,Fashion Designer,1,Average,3,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462223333,Female,Yes,47,Yes,Fashion Designer,7,Average,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462220490,Female,Yes,49,No,Fashion Designer,1,Average,4,Dog_3,Chaitanya,The specimen is reliable and experienced.
1462224684,Female,No,46,Yes,Fashion Designer,0,Low,2,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462225224,Male,Yes,62,Yes,Fashion Designer,1,High,2,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462219073,Male,No,39,Yes,Singer,5,Low,1,Dog_6,Akshat,The specimen is reliable and experienced.
1462219050,Male,No,58,No,Doctor,4,Low,2,Dog_6,Darsh,The specimen is reliable and experienced.
1462223668,Male,No,25,Yes,Doctor,,Low,3,Dog_6,Darsh,The specimen is responsible and hardworking.
1462224014,Female,Yes,42,Yes,Fashion Designer,1,Low,,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462222542,Female,,63,Yes,Fashion Designer,,Average,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462221979,Female,No,42,Yes,Fashion Designer,,Low,1,Dog_4,Chaitanya,The specimen is reliable and experienced.
1462220528,Male,No,30,No,Scientist,9,Low,3,Dog_4,Darsh,The specimen is reliable and experienced.
1462219051,Female,No,38,Yes,Scientist,8,Low,4,Dog_6,Akshat,The specimen is reliable and experienced.
1462218541,Male,Yes,72,Yes,Lawyer,1,Low,,Dog_4,Darsh,The specimen is reliable and experienced.
1462222253,Female,Yes,86,Yes,Lawyer,1,Low,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462225532,Male,No,30,Yes,Fashion Designer,2,Low,2,Dog_6,Akshat,The specimen is reliable and experienced.
1462222826,Male,Yes,46,Yes,Fashion Designer,1,Average,5,Dog_2,Chaitanya,The specimen is reliable and experienced.
1462222420,Male,Yes,42,Yes,Fashion Designer,0,Average,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462220231,Male,Yes,49,Yes,Fashion Designer,1,Average,4,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462223524,Female,No,32,No,Doctor,0,Low,4,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462219126,Female,Yes,45,Yes,Fashion Designer,0,Average,5,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462223278,Male,Yes,53,No,Fashion Designer,8,Average,3,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462223230,Male,Yes,43,Yes,Singer,7,Low,2,Dog_6,Akshat,The specimen is reliable and experienced.
1462220722,Male,Yes,56,Yes,Fashion Designer,0,High,2,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462224448,Male,Yes,41,Yes,HR,7,High,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462219682,Female,Yes,46,Yes,Fashion Designer,0,Average,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462223598,Male,Yes,45,No,HR,10,High,3,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462222674,Male,Yes,48,Yes,Fashion Designer,1,Average,3,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462224812,Female,No,40,Yes,Housewife,9,Low,,Dog_6,Darsh,The specimen is reliable and experienced.
1462222495,Female,Yes,37,Yes,Fashion Designer,2,Low,2,Dog_7,Chaitanya,The specimen is reliable and experienced.
1462222215,Female,No,49,Yes,Fashion Designer,0,Low,1,Dog_4,Bhavesh,The specimen is reliable and experienced.
1462225107,Female,Yes,48,Yes,Housewife,1,High,2,Dog_2,Chaitanya,The specimen is reliable and experienced.
1462220263,Female,No,25,Yes,Content Creation,12,Low,1,Dog_6,Darsh,The specimen is responsible and hardworking.
1462224483,Female,Yes,36,Yes,Fashion Designer,1,Average,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462220741,Male,No,25,No,Housewife,14,Low,3,Dog_5,Akshat,The specimen is responsible and hardworking.
1462222515,Female,No,37,Yes,Doctor,1,Low,1,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462223621,Female,Yes,36,Yes,Fashion Designer,0,Average,3,Dog_2,Chaitanya,The specimen is reliable and experienced.
1462222859,Female,Yes,47,Yes,Scientist,0,Average,2,Dog_6,Akshat,The specimen is reliable and experienced.
1462218707,Female,No,56,No,Scientist,,Low,1,Dog_6,Akshat,The specimen is reliable and experienced.
1462223722,Female,Yes,68,No,Fashion Designer,6,Average,3,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462224340,Female,Yes,48,Yes,Fashion Designer,1,High,3,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462222465,Female,Yes,25,Yes,Housewife,9,Average,2,,Akshat,The specimen is responsible and hardworking.
1462220540,Female,Yes,56,Yes,Fashion Designer,1,High,4,Dog_2,Bhavesh,The specimen is reliable and experienced.
1462221820,Female,Yes,88,Yes,Lawyer,1,Low,,Dog_6,Darsh,The specimen is reliable and experienced.
1462225909,Female,No,31,Yes,Housewife,8,Low,1,Dog_6,Darsh,The specimen is reliable and experienced.
1462225968,Male,Yes,73,Yes,Lawyer,1,High,2,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462223303,Female,Yes,51,Yes,Fashion Designer,3,Low,2,Dog_3,Bhavesh,The specimen is reliable and experienced.
1462223890,Female,No,33,No,Scientist,1,Low,3,Dog_6,Darsh,The specimen is reliable and experienced.
1462221427,Female,Yes,5o,Yes,Fashion Designer,0,Average,2,Dog_3,Chaitanya,The specimen is reliable and experienced.
1462221349,Male,Yes,38,Yes,Singer,8,Low,2,Dog_3,Bhavesh,The specimen is reliable and experienced.
1462221373,Male,Yes,76,Yes,Lawyer,1,Low,1,Dog_6,Akshat,The specimen is reliable and experienced.
1462223235,Female,Yes,31,No,Housewife,9,Average,2,Dog_6,Akshat,The specimen is reliable and experienced.
1462224886,Male,Yes,50,Yes,Scientist,0,Average,3,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462225480,Female,Yes,35,No,Fashion Designer,,Average,2,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462221033,Male,Yes,56,Yes,HR,8,High,5,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462218937,Female,Yes,52,Yes,Fashion Designer,14,Average,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462219498,Male,Yes,59,Yes,Singer,1,Average,3,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462222204,Male,Yes,37,Yes,Doctor,1,Average,2,Dog_6,Akshat,The specimen is reliable and experienced.
1462218868,Female,Yes,49,Yes,Fashion Designer,,Average,3,Dog_7,Chaitanya,The specimen is reliable and experienced.
1462220233,Female,Yes,36,Yes,HR,,High,,Dog_3,Akshat,The specimen is reliable and experienced.
1462220866,Male,Yes,51,Yes,Fashion Designer,,Average,4,Dog_2,Chaitanya,The specimen is reliable and experienced.
1462222212,Female,No,18,No,Singer,1,Low,7,Dog_2,Bhavesh,The specimen is rather joyful than responsible.
1462221674,Female,Yes,46,Yes,Fashion Designer,1,Average,2,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462225746,Female,Yes,43,Yes,Scientist,1,Average,4,Dog_6,Bhavesh,The specimen is reliable and experienced.
1462219514,Male,Yes,73,No,HR,0,High,3,Dog_6,Akshat,The specimen is reliable and experienced.
1462222177,Male,Yes,36,Yes,Fashion Designer,9,Average,2,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462219019,Female,Yes,26,Yes,Scientist,9,Low,2,Dog_6,Bhavesh,The specimen is responsible and hardworking.
1462224526,Male,Yes,42,Yes,Scientist,1,Average,2,Dog_1,Chaitanya,The specimen is reliable and experienced.
1462223572,Male,Yes,57,No,Singer,0,Low,1,Dog_6,Akshat,The specimen is reliable and experienced.
1462220541,Female,No,26,Yes,Fashion Designer,13,Low,2,Dog_6,Bhavesh,The specimen is responsible and hardworking.
1462220565,Male,No,33,No,Doctor,1,Low,4,Dog_6,Chaitanya,The specimen is reliable and experienced.
1462224561,Male,Yes,28,Yes,Scientist,9,Average,2,Dog_3,Chaitanya,The specimen is responsible and hardworking.
